Metastudie;Doi;Titel;Publikationsjahr;Anzahl Studien;Studienname;Publikationsjahr;Geschlecht;Index_Geschlecht;AlterText;Alter;Alter.gewichte;Alterrange;;;;;;exclusion:;;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Antuono ;1995;120 men and 281 women;both;449 participants, aged 49?92 years (mean age = 72.9 years);72,9;;49-62;;;;;55;https://doi.org/10.1002/14651858.CD010783.pub3;We used acceptable and commonly used reference standards for dementia in general, Alzheimer?s dementia, Lewy body dementia, vascular dementia and frontotemporal dementia.;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Cutler ;1990;12 men and 12 women;both;24 participants, aged 56?89 years (mean age = 73 +? 8.4years);73;;;;;;;72;https://doi.org/10.1002/14651858.CD004990;All unconfounded, double?blind, randomised controlled trials, comparing trazodone with placebo in managing behavioural and psychiatric symptoms (except depression) in any type of dementia.;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Zemlan ;1996a;127 men and 181 women;both;309 participants, aged 50?89 years (mean age = 71.6 years), ;71,6;;50-89;;;;;13;https://doi.org/10.1002/14651858.CD003153;A study on healthy subjects pretreated with scopolamine to mimic Alzheimer's disease showed a positive effect of D?cycloserine at low doses;;;;;;;;;;;;;
9;https://doi.org/10.1002/14651858.CD004748;Velnacrine for Alzheimer's disease;2004;4;Zemlan ;1996b;46 men and 71 women;both;117 participants, aged 50?88 years (mean age = 71.5 years), ;71,5;;50-88;;;;;66;https://doi.org/10.1002/14651858.CD003154.pub6;We pooled and analysed data from four clinical domains across different aetiologies and severities of dementia and for AD with agitation;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON vs RIV/Bullock ;;;not reported;"998 participants with mild to moderate probable Alzheimer's disease
(DSM?IV and NINCDS?ADRDA criteria), mean MMSE 15.1(3.0), mean age 75.9 (6.7)";75,9;;;;;;;21;https://doi.org/10.1002/14651858.CD003260.pub2;Cognitive impairments, particularly memory problems, are a defining feature of the early stages of Alzheimer's disease (AD) and vascular dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?302;;180 men and 293 women;both;473 participants, aged 51?94 years, 180 men and 293 women;not reported;;51-94;;;;;83;https://doi.org/10.1002/14651858.CD002955.pub4;We identified nine randomised controlled trials involving 847 patients with Alzheimer's disease, vascular dementia, mixed dementia, senile dementia and unspecified dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?304 ;;348 men and 470 women;both;818 participants, with mild to moderately severe AD, mean age 71.7 (8.3);71,7;;;;;;;39;https://doi.org/10.1002/14651858.CD007178.pub2;"Alzheimer's dementia (AD) is the most common form of dementia in people with Down Syndrome [DS];  It is important to note that people with DS tend to present with AD at a much younger age than the normal population as well as having subtle differences in physiology (e.g. metabolism and heart rate) and may therefore have different requirements from the general population";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?311 ;;37 men and 171 women;both;"study with 208 participants, with possible or probable AD, or AD 
with cerebrovascular disease (but not vascular dementia)";not reported;;;;;;;92;https://doi.org/10.1002/14651858.CD011022.pub2;"Dementia is a collective name for different degenerative brain syndromes which, according to Alzheimer's Disease International, affects approximately 35.6 million people worldwide; We considered randomised controlled trials (RCTs) in any language, including cross?over design and cluster?RCTs for inclusion. Studies considered had to include people with dementia, in any age group and in any setting, with interventions delivered by a dance movement therapy practitioner";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?402 ;; 71 men and 82 women;both;"153 participants,with probable AD diagnosed within the last year (DSM?IV and NINCDS?ADRDA), 
mean age 74.0 years, mean MMSE=24.1";74;;;;;;;40;https://doi.org/10.1002/14651858.CD012558.pub2;Clinical judgement by primary care physicians for the diagnosis of all?cause dementia or cognitive impairment in symptomatic people;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?Feldman ;;115 men and 177 women;both;292 participants, aged 51?94 years;not reported;;51-94;;;;;90;https://doi.org/10.1002/14651858.CD008191.pub2;Objectives: To assess the safety and efficacy of antidepressants in treating psychosis and agitation in older adults with Alzheimer's disease, vascular, or mixed dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;DON?Nordic ;;102 men and 184 women;both;286 participants, age range 49?88 years, with mild to moderate possible or probable AD;not reported;;49-88;;;;;45;https://doi.org/10.1002/14651858.CD001011;All unconfounded, randomized, double?blind trials in which treatment with piracetam was administered for more than a day and compared with placebo in people with dementia of Alzheimer type, vascular dementia, or mixed vascular and Alzheimer's disease, or unclassified dementia, or cognitive impairment not fulfilling diagnostic criteria for dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;GAL?INT?1 Wilcock ;;Sex: Not stated.;not reported;"Total No. of patients: 653
Age: [placebo 72.7 (7.6)] [galantamine 24mg 71.9 (8.3)] [galantamine 32mg 72,1 (8.6)]";72,23;;;;;;;41;https://doi.org/10.1002/14651858.CD003119;All human, unconfounded, double?blind, randomized trials in which treatment with vinpocetine was administered for more than a day and compared to control in patients with vascular dementia, Alzheimer's dementia or mixed Alzheimer's and vascular dementia and other dementias;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;GAL?USA?1 Raskind ;;Sex: 242 males.;male;"Total No. of patients: 636
Age: 70.3 +/? 1.6 to 71.1 +/? 1.5 (broken down by treatment group)";70,7;;;;;;;52;https://doi.org/10.1002/14651858.CD012216.pub2;We included studies that had prospectively defined cohorts with any accepted definition of MCI at time of performing the test and the use of 18F?florbetapir scan to evaluate the DTA of the progression from MCI to ADD or other forms of dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;GAL?USA?10 Tariot ;;Sex: 353 males;male;"Total No. of patients: 978
Age: 76.0 +/? 0.6 to 77.7 +/? 0.4";76,85;;;;;;;65;https://doi.org/10.1002/14651858.CD010578.pub2;"This overview included eight systematic reviews (with last search dates between May 2006 and February 2016). Seven were Cochrane Reviews evaluating interventions in pregnant women; children (aged from birth to five years) from LMIC; disadvantaged infants and young children (aged three months to five years); children with moderate acute malnutrition (MAM); disadvantaged school children; adults and children who were HIV positive or with active tuberculosis (with or without HIV). One was a non?Cochrane systematic review in older people with Alzheimer's disease. These reviews included 95 trials relevant to this overview, with the majority (74%) of participants from LMIC";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;RIV?B303 ;;428 female, 297 male;both;725 participants, age range 45?95 years mean age=72 years;72;;45-95;;;;;59;https://doi.org/10.1002/14651858.CD007514.pub3;"The use of statin therapy in established Alzheimer's disease (AD) or vascular dementia (VaD) is a relatively unexplored area. In AD, ??amyloid protein (A?) is deposited in the form of extracellular plaques and previous studies have determined A? generation is cholesterol dependent. Hypercholesterolaemia has also been implicated in the pathogenesis of VaD. Due to the role of statins in cholesterol reduction, it is biologically plausible they may be efficacious in the treatment of AD and VaD; Objectives: To assess the clinical efficacy and safety of statins in the treatment of AD and VaD. To evaluate if the efficacy of statins in the treatment of AD and VaD depends on cholesterol level, ApoE genotype or cognitive level. ";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;RIV?B304 ;;;not reported;678 participants;;;;;;;;47;https://doi.org/10.1002/14651858.CD012883;We included studies that had prospectively defined cohorts with any accepted definition of MCI at time of performing the test and the use of 18F?florbetaben scan to evaluate the DTA of the progression from MCI to ADD or other forms of dementia;;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;RIV?B351 ;;393 female, 309 male;both;702 participants, age range 45?89 years, mean =74.5 years;74,5;;45-89;;;;;97;https://doi.org/10.1002/14651858.CD002115.pub5;"Randomised and quasi?randomised trials evaluating any type of conservative or surgical intervention for the management of faecal incontinence and constipation in people with central neurological disease or injury were selected; The review is relevant to individuals with any disease directly and chronically affecting the central nervous system (post?traumatic, degenerative, ischaemic or neoplastic), such as multiple sclerosis, spinal cord injury, cerebrovascular disease, Parkinson's disease and Alzheimer's disease";;;;;;;;;;;;;
12;https://doi.org/10.1002/14651858.CD005593;Cholinesterase inhibitors for Alzheimer's disease;2006;14;RIV?B352 ;;426 female, 273 male;both;699 participants, age range 45?89 years, mean =74.5 years;74,5;;45-89;;;;;34;https://doi.org/10.1002/14651858.CD002854.pub5;We included all double?blind, randomised trials in which treatment with any dose of vitamin E was compared with placebo in people with AD or MCI;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Asthana;1995;Sex: 4 males, 5 females;both;Number: 9 patients, Age (mean): 68.7 years (+/? 12.1);68,7;;;;;;;76;https://doi.org/10.1002/14651858.CD004394;"The included trials (De La Fourniere 1997; Hvas 2004; Seal 2002) were restricted to a small number of patients with Alzheimer's disease and other types of cognitive impairment; ";;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Beller;1985;Sex: 4 males and 4 females;both;Number: 8 inpatients in a geropsychiatric unit, Age: 58?83 years;not reported;;58-83;;;;;18;https://doi.org/10.1002/14651858.CD003476.pub2;"Randomised, placebo?controlled trials, with concealed allocation, where dementia and psychosis and/or aggression were assessed; 60% Alzheimer's disease, 40% Vascular dementia or mixed dementia; 67% Alzheimer's disease, 26% vascular dementia, 7% mixed dementia";;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Davis;1982;"Sex: 8 males; 2 females";both;Number: 10 patients, Age: 50?68 years;not reported;;50-68;;;;;58;https://doi.org/10.1002/14651858.CD010632.pub2;We included studies that evaluated the diagnostic accuracy of û?F?FDG PET to determine the conversion from MCI to Alzheimer?s disease dementia or to other forms of dementia, i.e. any or all of vascular dementia, dementia with Lewy bodies, and fronto?temporal dementia;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Gustafson;1987;Sex: 5 males and 5 females;both;Number: 10 patients, Age: 49?71 years.;not reported;;49-71;;;;;46;https://doi.org/10.1002/14651858.CD008782.pub4;Plasma and cerebrospinal fluid amyloid beta for the diagnosis of Alzheimer's disease dementia and other dementias in people with mild cognitive impairment (MCI), We selected those studies that had prospectively well defined cohorts with any accepted definition of cognitive decline, but no dementia, with baseline CSF or plasma Aá levels, or both, documented at or around the time the above diagnoses were made;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Harrell;1990;Sex: 9 males, 11 females;both;Number: 20 patients, Age: 51?77 years (mean age, 63+/?3.1 years);63;;51-77;;;;;53;https://doi.org/10.1002/14651858.CD002853;There were detailed reports of only four of the nine included studies. The efficacy of propentofylline was reviewed for undifferentiated dementia as there were not enough data to attempt a subgroup analysis for the types of dementia, There is limited evidence that propentofylline might benefit cognition, global function and activities of daily living of people with Alzheimer's disease and/or vascular dementia, 30 patients, mean age 68.7 (6.5) y, (58% male 42% female) mild?moderate vascular dementia according to DSM IIIR ;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Jenike;1990;Sex: 12 males, 11 females;both;Number: 23 patients, Age: 53?89 years (mean of 66 years);66;;53-89;;;;;33;https://doi.org/10.1002/14651858.CD001015;All unconfounded, randomized trials comparing lecithin with placebo in a treatment period longer than one day, in patients with dementia of the Alzheimer type, vascular dementia, mixed vascular and Alzheimer's disease, unclassified or other dementia or unclassified cognitive impairment not fulfilling the criteria for dementia are eligible for inclusion;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Mohs;1985;"Sex: 8 males; 4 females";both;Number: 12 patients, Age: 52?76 years (mean age: 62.3 years);62,3;;52-76;;;;;19;https://doi.org/10.1002/14651858.CD001747.pub3;Trials selected were randomised, double?blind, parallel?group comparisons of galantamine with placebo for a treatment duration of greater than 4 weeks in subjects with MCI or AD;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;M”ller;1999;Sex:52 % female (94);both;Number: 181 patients, Age: 69.3 +/? 8.2 years;69,3;;;;;;;32;https://doi.org/10.1002/14651858.CD000359;"Trials to be included must be randomized, double?blind, parallel?group, and unconfounded comparisons of hydergine with placebo for a treatment duration of greater than one week in subjects with dementia or symptoms consistent with dementia; Diagnosis: cerebrovascular insufficiency; Diagnosis: multi?infarct dementia with vascular component, or senile dementia Alzheimer's type ";;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Sano;1993;Sex: No information;not reported;Number: 29 patients, Age: 69.1 +/? 9.1 years.;69,1;;;;;;;94;https://doi.org/10.1002/14651858.CD008900.pub3;Cerebrolysin for vascular dementia, We included all randomised controlled trials of Cerebrolysin used in people living with vascular dementia;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Stern;1987;Sex: No information;not reported;Number: 22 patients, Age: 58.7 ? 75.5 years (average 67.1 years).;67,1;;58,7-75,5;;;;;49;https://doi.org/10.1002/14651858.CD010945.pub2;Plasma and cerebrospinal fluid ABeta42 for the differential diagnosis of Alzheimer's disease dementia in participants diagnosed with any dementia subtype in a specialist care setting, Dementia is a syndrome that comprises many differing pathologies, including Alzheimer's disease dementia (ADD), vascular dementia (VaD) and frontotemporal dementia (FTD). People may benefit from knowing the type of dementia they live with, as this could inform prognosis and may allow for tailored treatment;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Thal;1989;Sex: No information;not reported;Number: 16 outpatients, Age: 56?80 years (mean 64 years);64;;56-80;;;;;;;;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Thal;1996a;Sex: 184 males, 182 females;both;Number: 366 patients;not reported;;;;;;;;;;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Thal;1996b;Sex:;not reported;Number: 439 patients;not reported;;;;;;;;;;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;Thal;1999;Sex: 60% females;both;Number: 699 patients screened and 475 enrolled in the trial, Age: 73.4 +/?6.9 years;73,4;;;;;;;;;;;;;;;;;;;;;;
16;https://doi.org/10.1002/14651858.CD001499;Physostigmine for dementia due to Alzheimer's disease;2001;15;van Dyck;2000;54.7% female;;number: 176, Age: 72.8 +/? 8.1 years.;72,8;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;AD;2000;566 participants (female, male);both;Sample size: 566 participants (female, male), Age:;not reported;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Black;2007; 343 participants (102 men and 241 women);both;"Sample size: 343 participants (102 men and 241 women), Age: mean age 78.0 (8.2), 
mean MMSE 7.5 (3.5)";78;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Burns;1999;818 participants, 348 men and 470 women;both;Sample size: 818 participants, 348 men and 470 women, Age: mean age 71.7 (8.3);71,7;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Farlow;2010;1467 participants (63% female, 37% male);both;Sample size: 1467 participants (63% female, 37% male), Age: mean age 73.9 (SD = 8.5);73,9;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Feldman;2001;292 participants, 115 men and 177 women;both;Sample size: 292 participants, 115 men and 177 women, Age: aged 51?94 years;not reported;;51-94;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Hegerl;2003;;not reported;Sample size: 40 participants;not reported;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Homma;1998;;not reported;Sample size: 190 participants, exclusion > 85 years;not reported;;<85;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Homma;2000;268 participants (67% female) ;both;Sample size: 268 participants (67% female), Age: mean age 69.8 (8.2);69,8;;;;;;;;;;;;;;;;;Gruppe 1;Gruppe 2;Gruppe 3;Gruppe 4;Gruppe 5;Gruppe 6
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Homma;2008;302 participants (20% men);both;Sample size: 302 participants (20% men) with severe AD, Age: mean 78.2 (8.0) years;78,2;;;;;;;;;;;;;;;;Anzahl;1;1;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Homma;2016;351 participants (69% female, 31% male);both;Sample size: 351 participants (69% female, 31% male), Age: mean age 76.0 (SD = 8.8);76;;;;;;;;;;;;;;;;Mittelwert;76;77,7;0;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Howard;2007;259 participants, 15% male;both;Sample size: 259 participants, 15% male, Age: mean age 84.5 (8.0);84,5;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Jia;2017;313 participants (65% female, 35% male);both;Sample size: 313 participants (65% female, 35% male), Age: mean age 70.8 (SD = 9.6);70,8;;;;;;;;;;;;;;;;;76;77,7;0;0;0;0
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Krishnan;2003;67 participants (48 women, 19 men);both;Sample size: 67 participants (48 women, 19 men), Age: mean age 73.4 years;73,4;;;;;;;;;;;;;;;;76,85;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Lebert;1999;;not reported;Sample size: 318 participants, Age: mean age 72 years;72;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Maher?Edwards;2011;130 participants (33% male, 76% female);both;Sample size: 130 participants (33% male, 76% female), Age: mean age 71.2 (7.8) years;71,2;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Mazza;2006;Sample size: 51 participants (54 % female);both;Sample size: 51 participants (54 % female), Age: 50-80;not reported;;50-80;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Mohs;2001; 431 participants, 160 men and 271 women;both;"Sample size: 431 participants, 160 men and 271 women with mild?moderately severe AD,
 mean age 75.4 (8.8), mean MMSE 17.1 (3.0)";75,4;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Moraes;2006a;23 participants (65% female);both;Sample size: 23 participants (65% female), Age: mean age 74.6 years;74,6;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Moraes;2006b;35 participants (69% female);both;Sample size: 35 participants (69% female), Age: mean age 75.9 years;75,9;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Rogers;1996;161 participants (64 men, 97 women);both;Sample size: 161 participants (64 men, 97 women), Age: mean 71.8 years, range 55?85 years;71,8;;55-85;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Rogers;1998a;;;sample size: 468 participants, 171 men and 297 women, Age: aged 50?94 years;not reported;;50-94;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Schindler;2004;;not reported;31 participants with mild?moderate AD (MMSE 10?26) currently taking 10 mg/d donepezil;not reported;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Seltzer;2004;153 participants, 71 men and 82 women;both;Sample size: 153 participants, 71 men and 82 women, Age: mean age 74.0 years;74;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Study 205;;;not reported;Sample size: 12 participants;not reported;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Study 306;;;not reported;39 participants;not reported;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Tariot;2001;208 participants, 37 men and 171 women;both;Sample size: 208 participants, 37 men and 171 women, Age: mean age 85.7 years;85,7;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Tune;2003;28 participants (7 male, 21 female);both;Sample size: 28 participants (7 male, 21 female), Age: mean age 72.9 years;72,9;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Winblad;2001;286 participants, 102 men and 184 women;both;Sample size: 286 participants, 102 men and 184 women, Age: mean age 72.5 years;72,5;;;;;;;;;;;;;;;;;;;;;;
14;https://doi.org/10.1002/14651858.CD001190.pub3;Donepezil for dementia due to Alzheimer's disease;2018;29;Winblad;2006;248 participants, 58 men and 190 women;both;Sample size: 248 participants, 58 men and 190 women, Age: mean age 84.9 years;84,9;;;;;;;;;;;;;;;;;;;;;;
4;https://doi.org/10.1002/14651858.CD001498;Thiamine for Alzheimer's disease;2001;3;Blass;1988;11 completed (4 male 7 female);both;Number: 16 randomized, 11 completed (4 male 7 female), Mean age: 71.6 (7.5) range 59?83;71,6;;59-83;;;;;;;;;;;;;;;;;;;;
4;https://doi.org/10.1002/14651858.CD001498;Thiamine for Alzheimer's disease;2001;3;Meador;1993a;18 randomized (5 male 13 female);both;Number: 18 randomized (5 male 13 female), Mean age: 71 range 61?86;71;;61-86;;;;;;;;;;;;;;;;;;;;
4;https://doi.org/10.1002/14651858.CD001498;Thiamine for Alzheimer's disease;2001;3;Nolan;1991;Number: 15 (5 male, 10 female);both;Number: 15 (5 male, 10 female), Mean age: 76.3 (7.7) range 59?87;76,3;;59-87;;;;;;;;;;;;;;;;;;;;
